Year,State,PotatoAcres
2013,WISCONSIN,62500
2012,ALASKA,680
2012,ARIZONA,4000
2012,CALIFORNIA,37800
2012,COLORADO,60500
2012,DELAWARE,1400
2012,FLORIDA,37100
2012,IDAHO,345000
2012,ILLINOIS,7600
2012,KANSAS,5500
2012,MAINE,59000
2012,MARYLAND,2300
2012,MASSACHUSETTS,3900
2012,MICHIGAN,47000
2012,MINNESOTA,49000
2012,MISSOURI,9100
2012,MONTANA,12000
2012,NEBRASKA,23500
2012,NEVADA,7100
2012,NEW JERSEY,2300
2012,NEW MEXICO,6300
2012,NEW YORK,18500
2012,NORTH CAROLINA,16500
2012,NORTH DAKOTA,88000
2012,OHIO,2100
2012,OREGON,42000
2012,OTHER STATES, (NA)
2012,PENNSYLVANIA,8900
2012,RHODE ISLAND,600
2012,TEXAS,20800
2012,VIRGINIA,5500
2012,WASHINGTON,165000
2012,WISCONSIN,66500
2011,ALASKA,750
2011,ARIZONA,3800
2011,CALIFORNIA,36900
2011,COLORADO,58500
2011,DELAWARE,1600
2011,FLORIDA,36400
2011,IDAHO,320000
2011,ILLINOIS,7000
2011,KANSAS,5500
2011,MAINE,58000
2011,MARYLAND,2200
2011,MASSACHUSETTS,3600
2011,MICHIGAN,45000
2011,MINNESOTA,49000
2011,MISSOURI,8300
2011,MONTANA,11700
2011,NEBRASKA,20000
2011,NEVADA, (D)
2011,NEW JERSEY,2000
2011,NEW MEXICO, (D)
2011,NEW YORK,17000
2011,NORTH CAROLINA,17000
2011,NORTH DAKOTA,84000
2011,OHIO,2000
2011,OREGON,40000
2011,OTHER STATES,13300
2011,PENNSYLVANIA,9200
2011,RHODE ISLAND,600
2011,TEXAS,19100
2011,VIRGINIA,6000
2011,WASHINGTON,160000
2011,WISCONSIN,63000
2010,ALASKA,760
2010,ARIZONA,3700
2010,CALIFORNIA,33600
2010,COLORADO,59500
2010,DELAWARE,1600
2010,FLORIDA,33200
2010,IDAHO,295000
2010,ILLINOIS,6500
2010,KANSAS,4500
2010,MAINE,55500
2010,MARYLAND,2100
2010,MASSACHUSETTS,3900
2010,MICHIGAN,44000
2010,MINNESOTA,45000
2010,MISSOURI,7300
2010,MONTANA,11500
2010,NEBRASKA,19000
2010,NEVADA, (D)
2010,NEW JERSEY,1900
2010,NEW MEXICO, (D)
2010,NEW YORK,16700
2010,NORTH CAROLINA,16000
2010,NORTH DAKOTA,84000
2010,OHIO,2200
2010,OREGON,35500
2010,OTHER STATES,13400
2010,PENNSYLVANIA,9500
2010,RHODE ISLAND,600
2010,TEXAS,17700
2010,VIRGINIA,5800
2010,WASHINGTON,135000
2010,WISCONSIN,62500
2009,ALASKA,780
2009,ARIZONA,4000
2009,CALIFORNIA,38200
2009,COLORADO,60000
2009,DELAWARE,1700
2009,FLORIDA,32600
2009,IDAHO,320000
2009,ILLINOIS,5400
2009,KANSAS,5000
2009,MAINE,56000
2009,MARYLAND,2400
2009,MASSACHUSETTS,3500
2009,MICHIGAN,45000
2009,MINNESOTA,47000
2009,MISSOURI,7300
2009,MONTANA,11200
2009,NEBRASKA,20000
2009,NEVADA,5100
2009,NEW JERSEY,2100
2009,NEW MEXICO,6500
2009,NEW YORK,17100
2009,NORTH CAROLINA,16000
2009,NORTH DAKOTA,83000
2009,OHIO,2300
2009,OREGON,37000
2009,PENNSYLVANIA,10000
2009,RHODE ISLAND,500
2009,TEXAS,17800
2009,VIRGINIA,6000
2009,WASHINGTON,145000
2009,WISCONSIN,63500
2008,ALABAMA,1300
2008,ALASKA,800
2008,ARIZONA,3500
2008,CALIFORNIA,38400
2008,COLORADO,61600
2008,DELAWARE,1700
2008,FLORIDA,28500
2008,IDAHO,305000
2008,ILLINOIS,5500
2008,KANSAS,5000
2008,MAINE,56000
